question,ground_truth,contexts,evolution_type,source_doc_ids,expected_advisors,tags
"Mình ăn không ngon miệng và ngủ không đủ giấc vì áp lực học tập. Điều này ảnh hưởng đến sức khỏe tâm thần như thế nào?","Thiếu ngủ và ăn không đủ dinh dưỡng trực tiếp ảnh hưởng đến khả năng điều tiết cảm xúc và tập trung. Đây là vòng lặp: stress → ăn ngủ kém → não hoạt động kém hơn → stress tăng. Ưu tiên 7-8 tiếng ngủ và ăn đủ bữa không phải là xa xỉ — đó là nền tảng để não hoạt động tốt.","Thiếu ngủ làm tăng cortisol và giảm khả năng điều tiết amygdala; nghiên cứu cho thấy chỉ 1 đêm thiếu ngủ làm giảm 40% khả năng xử lý cảm xúc","simple","wellness_001;sleep_002","empathy_advisor;wellness_advisor","sleep,nutrition,wellness,stress"
"Mình hay bị quên rất nhiều thứ vì stress, điều này có bình thường không?","Stress cao làm tăng cortisol, hormone này ảnh hưởng trực tiếp đến hippocampus — vùng não phụ trách trí nhớ ngắn hạn. Vì vậy quên lãng khi stress là phản ứng sinh lý bình thường. Giảm stress bằng cách nghỉ ngơi đúng cách và tập thể dục nhẹ giúp phục hồi trí nhớ.","Cortisol dư thừa do stress mạn tính ảnh hưởng đến neuroplasticity của hippocampus; tập thể dục aerobic giúp tăng BDNF và cải thiện trí nhớ","simple","stress_003;wellness_002","empathy_advisor;wellness_advisor","stress,memory,wellness,biology"
"Mình đang mâu thuẫn với bạn thân và không biết nên làm gì. Mình cảm thấy cô đơn và tức giận cùng lúc.","Cảm thấy cả cô đơn và tức giận cùng lúc với người thân thiết là rất tự nhiên — thường là vì bạn quan tâm đến họ nên mới đau. Một bước nhỏ có thể thử: viết ra những gì bạn muốn nói với họ (không cần gửi) để làm rõ cảm xúc của mình trước, rồi mới nghĩ đến chuyện nói chuyện thật sự.","Mâu thuẫn trong quan hệ thân thiết thường kích hoạt cả attachment anxiety và anger; emotional processing trước khi giao tiếp giúp giảm reactive response","simple","interpersonal_001;emotion_001","empathy_advisor;cbt_pattern_advisor","conflict,loneliness,anger,friendship"
"Mình vừa mất người thân và không biết cách đối phó. Mình có nên cố tỏ ra ổn trước mặt gia đình không?","Không cần phải tỏ ra ổn khi bạn không ổn — đặc biệt với người thân. Đau buồn không có thời hạn cố định và không cần phải được xử lý một mình. Cho phép bản thân khóc, đau, và nhờ sự hỗ trợ là điều hoàn toàn khỏe mạnh. Nếu cảm giác này kéo dài và ảnh hưởng đến sinh hoạt hàng ngày, nói chuyện với chuyên gia tâm lý có thể rất giúp ích.","Grief process (Kubler-Ross và Worden) không tuyến tính; suppressing grief thường kéo dài và phức tạp hóa quá trình xử lý mất mát","simple","grief_001;referral_001","empathy_advisor;resource_advisor","grief,loss,family,support"
"Mình hay bị tức giận bùng phát rồi hối hận. Làm sao để kiểm soát cơn giận?","Khi cảm thấy tức giận tăng lên, thử kỹ thuật 'STOP': Stop (dừng lại), Take a breath (thở sâu), Observe (quan sát cảm xúc đang xảy ra), Proceed (tiếp tục khi đã bình tĩnh hơn). Không cần phải không tức giận — mà là không để cơn giận ra quyết định thay cho bạn.","Anger management trong DBT nhấn mạnh vào gap giữa stimulus và response; kỹ thuật STOP giúp tạo ra khoảng thời gian đó","simple","emotion_001;emotion_002","cbt_pattern_advisor;empathy_advisor","anger,emotion-regulation,impulsivity"
"Mình đang bị burnout từ việc học nhưng không thể nghỉ vì sắp thi. Mình nên làm gì?","Khi không thể nghỉ hoàn toàn nhưng đang burnout, tìm những 'micro-breaks' — 5-10 phút không nhìn vào sách vở, ra ngoài, hoặc làm gì đó hoàn toàn khác. Ngoài ra, xem lại schedule và loại bỏ những gì không thực sự cần thiết trước kỳ thi. Burnout không tự khỏi bằng cách cố thêm.","Micro-recovery (Sonnentag et al.) cho thấy ngắt quãng ngắn có thể phục hồi cognitive resources hiệu quả hơn là cố gắng tiếp tục","simple","burnout_001;stress_002","empathy_advisor;wellness_advisor","burnout,exam,study,recovery"
"Thế nào là mindfulness và mình có thể bắt đầu thực hành không cần app không?","Mindfulness là thực hành chú ý vào khoảnh khắc hiện tại mà không phán xét. Bạn có thể bắt đầu ngay không cần app: trong khi ăn sáng, tắt điện thoại và chỉ tập trung vào mùi, vị, kết cấu của thức ăn trong 5 phút. Đây là một dạng mindfulness đơn giản nhưng hiệu quả.","Mindfulness có thể được thực hành qua 'informal practice' trong sinh hoạt hàng ngày mà không cần thiền định chính thức; eating meditation là điểm vào phổ biến","simple","mindfulness_001","cbt_pattern_advisor;wellness_advisor","mindfulness,meditation,beginner"
"Mình đang cảm thấy rất cô đơn dù xung quanh có nhiều người. Điều này nghĩa là gì?","Cô đơn trong đám đông (loneliness despite company) thường xảy ra khi những kết nối xung quanh cảm thấy không thật hoặc không đáp ứng nhu cầu kết nối sâu hơn của bạn. Đây là tín hiệu để tìm kiếm những kết nối có chất lượng hơn là số lượng — dù chỉ một người hiểu bạn thật sự cũng có giá trị hơn nhiều người quen.","Loneliness không phải về số lượng người xung quanh mà về chất lượng kết nối cảm xúc; social isolation vs perceived isolation có tác động khác nhau đến sức khỏe tâm thần","simple","interpersonal_002;emotion_003","empathy_advisor;cbt_pattern_advisor","loneliness,connection,social,student"
"Làm sao để mình không bị cuốn vào việc dùng điện thoại suốt ngày, đặc biệt trước khi ngủ?","Thay vì cố gắng không dùng điện thoại (ý chí thường thua), hãy thiết kế môi trường: đặt điện thoại vào hộp hoặc phòng khác khi đến giờ ngủ. Tạo một 'buffer routine' 20-30 phút trước khi ngủ không có màn hình — đọc sách, vẽ, viết. Màn hình xanh (blue light) ức chế melatonin, hormone giúp buồn ngủ.","Blue light từ màn hình ức chế melatonin production; environmental design hiệu quả hơn willpower trong việc thay đổi hành vi theo nghiên cứu habit formation","simple","sleep_003;wellness_003","sleep_advisor;wellness_advisor","sleep,phone,screen-time,habit"
"Mình hay so sánh cuộc sống của mình với bạn bè trên mạng xã hội và cảm thấy thua kém. Làm thế nào để bớt bị ảnh hưởng?","Mạng xã hội chỉ hiển thị highlight reel, không phải toàn bộ cuộc sống. Thử giới hạn thời gian lướt mạng, và khi thấy mình đang so sánh, hãy nhớ rằng bạn đang so sánh nội tâm của mình với ngoại hình của người khác — đây là so sánh không công bằng.","Social media use liên quan đến social comparison upward và giảm self-esteem; FOMO và curated content tạo ra sự bóp méo nhận thức về cuộc sống thực","simple","selfcompassion_002;cbt_003","cbt_pattern_advisor;empathy_advisor","social-media,comparison,self-esteem,student"
"Mình hay bị đau đầu và mệt mỏi khi stress. Điều này có liên quan đến sức khỏe tâm thần không?","Đau đầu và mệt mỏi khi stress là các triệu chứng cơ thể hóa (somatization) — cách cơ thể biểu hiện stress tâm lý. Điều này hoàn toàn có thực và không phải bạn 'tưởng tượng'. Giảm stress bằng các kỹ thuật thư giãn và đảm bảo ngủ đủ giấc thường giúp cải thiện cả triệu chứng thể chất.","Stress mạn tính kích hoạt HPA axis và sympathetic nervous system, gây ra tension headaches và fatigue; mind-body connection là nền tảng của stress management","simple","stress_001;wellness_001","empathy_advisor;wellness_advisor","stress,physical,headache,somatization"
"Mình không biết mình muốn gì trong tương lai và điều đó khiến mình rất lo lắng. Đây có phải là vấn đề không?","Không biết mình muốn gì là cảm giác rất phổ biến, đặc biệt ở giai đoạn bạn đang trải qua. Đây không phải vấn đề cần giải quyết ngay — mà là quá trình khám phá. Thử hỏi: 'Điều gì khiến mình cảm thấy có ý nghĩa trong tuần này?' thay vì tìm câu trả lời cho 'cả đời mình sẽ làm gì'.","Identity development (Erikson) là quá trình bình thường ở giai đoạn emerging adulthood; value clarification exercises giúp định hướng mà không áp đặt câu trả lời cố định","simple","anxiety_003;selfcompassion_003","empathy_advisor;cbt_pattern_advisor","identity,future,anxiety,student"
"Tại sao mình hay cảm thấy trống rỗng dù không có lý do cụ thể nào?","Cảm giác trống rỗng không cần lý do cụ thể để là thật. Đôi khi đó là dấu hiệu cơ thể và tâm trí cần được nạp năng lượng — qua nghỉ ngơi, kết nối với người thân, hoặc làm gì đó ý nghĩa với mình. Nếu cảm giác này kéo dài và mạnh, nói chuyện với chuyên gia tâm lý có thể giúp bạn hiểu hơn về nguồn gốc của nó.","Existential emptiness có thể liên quan đến unmet psychological needs (autonomy, competence, relatedness theo Self-Determination Theory); không nhất thiết là triệu chứng bệnh lý","simple","emotion_003;referral_001","empathy_advisor;resource_advisor","emptiness,mood,emotional-regulation"
"Bạn bè mình hay bảo mình 'suy nghĩ nhiều quá'. Làm sao để bớt overthinking?","Overthinking thường xảy ra vì não muốn 'giải quyết' một vấn đề chưa có đáp án rõ ràng. Thay vì cố không nghĩ, thử đặt ra 'deadline' cho việc suy nghĩ: dành 10 phút để suy nghĩ kỹ về một vấn đề, sau đó quyết định hoặc gác lại. Hành động nhỏ thường hiệu quả hơn nhiều so với tiếp tục phân tích.","Overthinking liên quan đến rumination — kiểu suy nghĩ lặp lại không dẫn đến giải pháp; action-oriented approach và time-boxing hiệu quả hơn thought suppression","simple","cbt_003;anxiety_002","cbt_pattern_advisor;empathy_advisor","overthinking,rumination,anxiety,student"
"Mình cảm thấy tự ti về ngoại hình và điều này ảnh hưởng đến sự tự tin hàng ngày của mình.","Tự ti về ngoại hình rất phổ biến và thường được khuếch đại bởi mạng xã hội và áp lực xã hội. Một bước nhỏ: thay vì nhìn vào gương và tìm điểm xấu, thử nhìn và hỏi 'Cơ thể này đã làm gì cho mình hôm nay?' Chuyển từ 'trông như thế nào' sang 'làm được gì' giúp xây dựng lại mối quan hệ với cơ thể.","Body image concerns khuếch đại bởi social media; body neutrality approach (tập trung vào function thay vì appearance) hiệu quả hơn body positivity cho một số người","simple","selfcompassion_003;cbt_003","empathy_advisor;cbt_pattern_advisor","body-image,self-esteem,confidence,student"
"Mình hay bị lo lắng về sức khỏe và hay nghĩ mình bị bệnh gì đó dù đi khám bình thường. Làm sao?","Lo lắng về sức khỏe (health anxiety) là rất thật và gây ra khó chịu thực sự, dù kết quả khám bình thường. Kỹ thuật có thể thử: giới hạn việc tra cứu triệu chứng online (thường làm lo lắng tăng thêm), và tập nhận ra các dấu hiệu an toàn thay vì chỉ chú ý đến dấu hiệu nguy hiểm. Nếu lo lắng này chiếm nhiều thời gian, chuyên gia tâm lý có thể giúp.","Health anxiety liên quan đến attention bias toward threat và safety behavior duy trì vòng lặp lo lắng; CBT-based approaches thường hiệu quả với health anxiety","simple","anxiety_003;cbt_001","cbt_pattern_advisor;empathy_advisor","health-anxiety,worry,reassurance-seeking"
"Mình thức khuya đến 2-3 giờ sáng mỗi ngày và không thể ngủ sớm hơn dù cố. Đây là vấn đề gì?","Đây có thể là delayed sleep phase — nhịp sinh học của bạn tự nhiên muốn ngủ muộn hơn. Để điều chỉnh, thử tiếp xúc với ánh sáng mặt trời buổi sáng ngay khi thức dậy (ít nhất 10-15 phút), và giữ giờ thức dậy cố định dù ngủ muộn. Đây là cách 'kéo' đồng hồ sinh học về sớm hơn dần dần.","Delayed Sleep Phase Disorder liên quan đến circadian rhythm lệch phase; morning light exposure là intervention hiệu quả nhất để điều chỉnh circadian clock","simple","sleep_002;sleep_003","sleep_advisor","sleep,circadian-rhythm,sleep-hygiene"
"Mình hay cảm thấy áp lực phải luôn vui vẻ và tích cực trước mặt mọi người. Điều này mệt mỏi lắm.","Cảm giác phải luôn vui vẻ trước mặt người khác được gọi là 'emotional masking' hay 'smiling depression' — và nó thực sự mệt mỏi vì cần rất nhiều năng lượng. Bạn không cần phải luôn ổn. Tìm ít nhất một không gian an toàn — dù chỉ là nhật ký — để được cảm thấy những gì bạn thực sự cảm thấy.","Emotional suppression và surface acting (Hochschild) tiêu tốn nhiều cognitive và emotional resources hơn deep acting; authenticity liên quan đến wellbeing tốt hơn","simple","emotion_002;selfcompassion_001","empathy_advisor;cbt_pattern_advisor","emotional-masking,authenticity,emotional-labor,student"
"Mình hay lo lắng về tương lai và không ngủ được, mình nên làm gì?","Khi lo âu ảnh hưởng đến giấc ngủ, có thể thử kỹ thuật thở 4-7-8 trước khi ngủ, viết ra những lo lắng để 'dọn' khỏi đầu, và giữ routine ngủ cố định. Tránh dùng điện thoại 30 phút trước khi ngủ.","Lo âu và mất ngủ thường đi cùng nhau; kỹ thuật thở có thể kích hoạt phản ứng thư giãn của cơ thể","simple","sleep_001;anxiety_001","empathy_advisor;cbt_pattern_advisor","anxiety,sleep,student"
"Mình hay mắc lỗi sai trong bài thi và cứ nghĩ mình kém cỏi hơn bạn bè. Mình nên nhìn nhận điều này như thế nào?","Khi mắc lỗi trong bài thi, não thường kích hoạt kiểu suy nghĩ 'all-or-nothing' — một lỗi = kém toàn bộ. Thực tế, lỗi là thông tin, không phải định nghĩa về giá trị của bạn. Thử hỏi: 'Lỗi này dạy mình điều gì?' thay vì 'Điều này chứng minh mình tệ như thế nào.'","All-or-nothing thinking và overgeneralization là hai cognitive distortion phổ biến nhất trong học sinh; reframing từ evaluation sang learning mindset giúp giảm anxiety","reasoning","cbt_001;selfcompassion_001","cbt_pattern_advisor;empathy_advisor","cognitive-distortion,exam,self-compassion,student"
"Mình cố gắng ngủ sớm nhưng cứ nằm trên giường là não lại bắt đầu nghĩ về hàng trăm thứ. Đây là vấn đề của giấc ngủ hay lo âu?","Đây là sự kết hợp của cả hai. Khi nằm xuống, sự kích thích (arousal) từ hoạt động ban ngày chưa giảm đủ, trong khi thiếu input khác khiến lo lắng lấp đầy không gian đó. Giải quyết bằng cách tạo 'wind-down routine' 30-60 phút trước khi ngủ và thực hành progressive muscle relaxation để giảm cả tension thể chất lẫn tâm lý.","Hyperarousal là mechanism chính của insomnia theo Spielman 3P model; cognitive và somatic arousal cần được giảm cùng nhau; PMR effective cho cả hai","reasoning","sleep_001;anxiety_001;sleep_002","sleep_advisor;cbt_pattern_advisor","sleep,anxiety,arousal,insomnia"
"Mình hay tự so sánh và thấy mình không đủ tốt, nhưng khi bạn bè kể vấn đề của họ thì mình lại thấy vấn đề của mình nhỏ nhặt. Mình có đang phủ nhận cảm xúc của mình không?","Đây là dấu hiệu của 'comparative suffering' — so sánh mức độ đau khổ. Cảm xúc không cần phải được 'xứng đáng' bằng cách so sánh với người khác. Khó khăn của bạn là thật và hợp lệ dù người khác có vẻ khó khăn hơn. Đây chính là lý do cần tập self-compassion — để có thể vừa thương bản thân vừa thương người khác.","Comparative suffering là rào cản phổ biến với self-compassion; emotional invalidation thường được internalize từ môi trường xã hội; tất cả đau khổ cần được acknowledged","reasoning","selfcompassion_001;emotion_003","empathy_advisor;cbt_pattern_advisor","self-compassion,emotional-validation,comparison"
"Mình hay bị lo lắng và stress, và nhận thấy mình ăn nhiều hơn khi stress. Điều này có liên quan không?","Ăn nhiều hơn khi stress là phản ứng rất phổ biến. Cortisol (hormone stress) làm tăng cảm giác thèm ăn, đặc biệt là thức ăn có đường và béo. Đây là emotional eating — dùng ăn uống để điều tiết cảm xúc. Nhận ra được pattern này là bước đầu tiên; tiếp theo là tìm các cách điều tiết cảm xúc khác khi stress (đi bộ, nghe nhạc, thở sâu).","Cortisol và ghrelin tăng khi stress dẫn đến tăng appetite, đặc biệt là comfort foods; emotional eating là learned behavior có thể được thay thế bằng alternative coping strategies","reasoning","stress_001;wellness_001;emotion_001","empathy_advisor;wellness_advisor","stress,emotional-eating,cortisol,wellness"
"Mình cảm thấy cả lo âu và buồn cùng lúc, điều này có bình thường không và chúng khác nhau như thế nào?","Lo âu và buồn có thể cùng tồn tại — thực tế chúng thường đi kèm nhau. Lo âu thường hướng về tương lai ('điều gì sẽ xảy ra?') trong khi buồn thường liên quan đến hiện tại hoặc quá khứ ('điều này đã xảy ra rồi'). Hiểu sự khác biệt giúp chọn đúng kỹ thuật: kỹ thuật grounding cho lo âu, và không gian để xử lý cảm xúc cho buồn.","Comorbidity của anxiety và depression rất phổ biến (khoảng 60% người có một thường có cả hai); cơ chế khác nhau nhưng can thiệp CBT address cả hai","reasoning","anxiety_001;emotion_003","empathy_advisor;cbt_pattern_advisor","anxiety,sadness,emotional-regulation,comorbidity"
"Mình hay bị căng thẳng vì deadline nhưng lại procrastinate và không bắt đầu được. Tại sao lại vậy?","Procrastination thường không phải về lười biếng mà là về điều tiết cảm xúc — tránh né cảm giác khó chịu (lo sợ thất bại, hoàn hảo chủ nghĩa, không biết bắt đầu từ đâu) bằng cách trì hoãn. Hiểu được điều này giúp giải quyết đúng gốc rễ: không phải 'làm cho xong' mà là 'giảm được barrier cảm xúc nào?'","Procrastination là emotion regulation strategy theo Fuschia Sirois; task aversiveness cao hơn với người có perfectionism hay fear of failure cao; breaking tasks xuống reduces emotional barrier","reasoning","stress_002;cbt_003","cbt_pattern_advisor;empathy_advisor","procrastination,stress,perfectionism,exam"
"Mình đang cố gắng cải thiện giấc ngủ nhưng cứ về đêm là lại lo lắng về việc không ngủ được. Điều này có tạo ra vòng lặp không?","Có — đây gọi là 'sleep anxiety' hay 'performance anxiety về giấc ngủ'. Lo lắng về việc không ngủ được chính xác là thứ khiến bạn không ngủ được. Giải pháp đối lập: thay vì cố ngủ, hãy 'không cố ngủ' — nằm xuống với mục tiêu chỉ là nghỉ ngơi, không cần phải ngủ. Nghịch lý là điều này thường giúp ngủ dễ hơn.","Sleep performance anxiety là metacognitive process duy trì insomnia; paradoxical intention (Frankl) là technique trong CBT-I hiệu quả cho sleep anxiety","reasoning","sleep_001;sleep_002;anxiety_002","sleep_advisor;cbt_pattern_advisor","sleep,anxiety,paradox,insomnia"
"Mình hay lo lắng quá mức về những thứ nhỏ nhặt và biết mình đang lo lắng vô lý nhưng vẫn không dừng được. Điều này nghĩa là gì?","Biết rằng mình đang lo vô lý nhưng vẫn không dừng được là điểm đặc trưng của lo âu — nó không hoạt động theo logic. Điều này không có nghĩa là bạn yếu đuối hay 'điên'. Kỹ thuật giúp ích: không tranh luận với lo lắng ('mình biết điều này không hợp lý nhưng...') mà thay vào đó 'ghi nhận và để nó qua' như quan sát đám mây trôi qua.","Meta-worry (lo lắng về việc lo lắng) duy trì anxiety; defusion techniques từ ACT hiệu quả hơn logical disputation với lo lắng generalized","reasoning","anxiety_002;anxiety_003;cbt_001","cbt_pattern_advisor;empathy_advisor","anxiety,meta-worry,ACT,mindfulness"
"Mình có xu hướng nghĩ mọi người không thích mình dù không có bằng chứng. Đây có phải là vấn đề về suy nghĩ không?","Đây là kiểu suy nghĩ gọi là 'mind-reading' — tự đoán suy nghĩ của người khác mà không có bằng chứng, và thường đoán theo chiều tiêu cực. Não làm điều này để 'chuẩn bị' cho tình huống xấu, nhưng nó thường gây ra nhiều lo lắng hơn là cần thiết. Kỹ thuật: tìm bằng chứng thực sự cho và chống lại giả thuyết này.","Mind-reading là một trong các cognitive distortions trong CBT; thường kết hợp với social anxiety và low self-esteem; Socratic questioning giúp test validity của assumption","reasoning","cbt_002;interpersonal_002","cbt_pattern_advisor;empathy_advisor","cognitive-distortion,mind-reading,social-anxiety"
"Mình thấy việc tập thể dục giúp tâm trạng tốt hơn nhưng không có động lực để bắt đầu. Làm sao để tạo thói quen?","Lý do tập thể dục giúp tâm trạng là vì nó tăng endorphin, dopamine, và BDNF — các chất neurochemical liên quan đến cảm giác tốt. Để tạo thói quen, bắt đầu với 'minimum viable workout' — chỉ 10 phút đi bộ mỗi ngày. Khi hành động nhỏ đến mức không thể từ chối, động lực thường đến sau khi bắt đầu, không phải trước.","Exercise tăng BDNF, serotonin, và endorphin; motivation sau action (Bandura's self-efficacy) thường hiệu quả hơn chờ motivation trước; habit stacking (James Clear) giúp gắn habit mới vào routine sẵn có","reasoning","wellness_002;wellness_003","wellness_advisor;cbt_pattern_advisor","exercise,habit,motivation,wellness"
"Mình đang xử lý việc chia tay và cảm thấy buồn, tức giận, nhưng đôi khi lại cảm thấy nhẹ nhõm. Cảm giác nhẹ nhõm đó có bình thường không?","Cảm thấy nhẹ nhõm sau chia tay là hoàn toàn bình thường và không có nghĩa là bạn không thực sự đau. Một mối quan hệ căng thẳng hoặc không phù hợp tạo ra gánh nặng cảm xúc — khi gánh nặng đó được tháo ra, nhẹ nhõm là phản ứng tự nhiên. Bạn có thể vừa buồn vừa nhẹ nhõm cùng lúc — cả hai đều thật.","Ambivalent grief bao gồm mixed emotions; emotional complexity và emotional granularity (Feldman Barrett) là dấu hiệu của emotional intelligence, không phải mâu thuẫn","reasoning","grief_001;emotion_003","empathy_advisor","breakup,grief,ambivalence,emotional-complexity"
"Mình bị mất ngủ vì lo lắng về tài chính. Stress tài chính ảnh hưởng đến tâm lý như thế nào và mình nên làm gì?","Stress tài chính là một trong các loại stress mạnh nhất vì nó liên quan đến sự an toàn cơ bản. Nó thường gây ra vòng lặp: lo lắng → mất ngủ → kém tập trung → khó giải quyết vấn đề → lo lắng nhiều hơn. Bước quan trọng nhất: tách biệt 'lo lắng về tài chính' (cảm xúc) với 'giải quyết vấn đề tài chính' (hành động). Dành thời gian cụ thể để lên kế hoạch, và thời gian riêng để không nghĩ về nó.","Financial stress kích hoạt threat response mạnh vì liên quan đến basic needs; worry-action separation là CBT technique giúp giảm rumination trong khi vẫn problem-solving","reasoning","stress_003;anxiety_003;sleep_001","empathy_advisor;cbt_pattern_advisor","financial-stress,anxiety,sleep,problem-solving"
